time,x,y,z,tx,ty,tz,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
0.014,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.048,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.101,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.144,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.200,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.253,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.296,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.350,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.402,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.455,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.499,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.551,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.603,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
0.655,-0.0026,13.9331,0.7931,0.0,14.0,1.0,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917,-0.048872445,-0.11817175,0.63910973,0.63910973,0.07508503,0.09195917
