time,x,y,z,tx,ty,tz,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
0.028,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.063,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.116,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.158,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.211,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.264,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.317,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.360,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.413,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.466,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.519,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.561,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.614,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.669,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.712,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.768,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.821,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.863,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.916,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
0.968,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.021,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.054,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.115,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.154,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.207,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.259,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.314,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.356,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.436,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.465,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.510,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.562,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.615,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.668,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.710,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.763,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.816,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.858,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.911,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
1.963,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.015,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.068,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.110,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.162,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.214,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.267,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.313,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.365,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.417,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.458,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.530,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.562,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.614,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
2.665,1.1922,-0.1143,0.2414,1.0,0.0,1.0,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278,0.2128031,-0.12799287,1.0,1.0,-0.023957444,-0.06085278
