time,x,y,z,tx,ty,tz,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
0.032,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.088,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.141,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.183,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.236,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.290,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.343,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.385,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.437,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.489,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.541,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.583,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.636,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.688,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.740,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.789,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.842,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.894,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.946,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
0.988,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.040,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.092,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.144,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.196,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.248,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.281,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.333,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.383,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.430,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.492,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.534,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.601,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.636,1.2591,-0.4077,0.1732,1.0,0.0,2.0,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702,0.03156812,-0.13596962,1.0,1.0,0.12668853,-0.02228702
1.686,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.736,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.786,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.837,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.888,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.936,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.986,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.036,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.086,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.136,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.186,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.236,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.286,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.336,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.386,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.436,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.486,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.536,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.586,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.636,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.686,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.736,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.786,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.836,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.886,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.936,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.986,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.036,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.080,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.129,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.180,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.229,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.279,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.329,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.380,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.429,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.479,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.529,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.579,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.630,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.679,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.730,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.780,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.829,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.887,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.938,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.988,0.0000,0.0000,0.0000,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.038,0.6998,0.0000,0.4332,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
