time,x,y,z,tx,ty,tz,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
0.031,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882518,-0.10518271,0.6357791,0.6357791,0.071366474,0.1026414,-0.06882518,-0.10518271,0.6357791,0.6357791,0.071366474,0.1026414
0.087,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882496,-0.105182916,0.6357791,0.6357791,0.07136669,0.10264119,-0.06882496,-0.105182916,0.6357791,0.6357791,0.07136669,0.10264119
0.137,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068824746,-0.10518313,0.6357791,0.6357791,0.071366906,0.10264098,-0.068824746,-0.10518313,0.6357791,0.6357791,0.071366906,0.10264098
0.187,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882454,-0.10518335,0.6357791,0.6357791,0.071367115,0.10264076,-0.06882454,-0.10518335,0.6357791,0.6357791,0.071367115,0.10264076
0.237,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882432,-0.10518356,0.6357791,0.6357791,0.07136733,0.102640554,-0.06882432,-0.10518356,0.6357791,0.6357791,0.07136733,0.102640554
0.287,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882411,-0.10518377,0.6357791,0.6357791,0.07136755,0.10264034,-0.06882411,-0.10518377,0.6357791,0.6357791,0.07136755,0.10264034
0.331,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.0688239,-0.10518398,0.6357791,0.6357791,0.071367756,0.10264012,-0.0688239,-0.10518398,0.6357791,0.6357791,0.071367756,0.10264012
0.381,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882368,-0.1051842,0.6357791,0.6357791,0.07136797,0.10263991,-0.06882368,-0.1051842,0.6357791,0.6357791,0.07136797,0.10263991
0.431,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882347,-0.10518441,0.6357791,0.6357791,0.07136818,0.1026397,-0.06882347,-0.10518441,0.6357791,0.6357791,0.07136818,0.1026397
0.481,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068823256,-0.10518462,0.6357791,0.6357791,0.0713684,0.10263949,-0.068823256,-0.10518462,0.6357791,0.6357791,0.0713684,0.10263949
0.531,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882305,-0.10518484,0.6357791,0.6357791,0.071368605,0.10263927,-0.06882305,-0.10518484,0.6357791,0.6357791,0.071368605,0.10263927
0.581,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882283,-0.10518505,0.6357791,0.6357791,0.07136882,0.10263906,-0.06882283,-0.10518505,0.6357791,0.6357791,0.07136882,0.10263906
0.631,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068822615,-0.10518526,0.6357791,0.6357791,0.07136904,0.10263885,-0.068822615,-0.10518526,0.6357791,0.6357791,0.07136904,0.10263885
0.681,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068822406,-0.10518548,0.6357791,0.6357791,0.071369246,0.10263863,-0.068822406,-0.10518548,0.6357791,0.6357791,0.071369246,0.10263863
0.731,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882219,-0.10518569,0.6357791,0.6357791,0.07136946,0.10263842,-0.06882219,-0.10518569,0.6357791,0.6357791,0.07136946,0.10263842
0.781,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882198,-0.1051859,0.6357791,0.6357791,0.07136967,0.10263821,-0.06882198,-0.1051859,0.6357791,0.6357791,0.07136967,0.10263821
0.831,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068821765,-0.10518611,0.6357791,0.6357791,0.07136989,0.10263799,-0.068821765,-0.10518611,0.6357791,0.6357791,0.07136989,0.10263799
0.881,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882156,-0.10518633,0.6357791,0.6357791,0.0713701,0.10263778,-0.06882156,-0.10518633,0.6357791,0.6357791,0.0713701,0.10263778
0.931,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882134,-0.105186544,0.6357791,0.6357791,0.07137031,0.10263757,-0.06882134,-0.105186544,0.6357791,0.6357791,0.07137031,0.10263757
0.981,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068821125,-0.10518675,0.6357791,0.6357791,0.07137053,0.10263736,-0.068821125,-0.10518675,0.6357791,0.6357791,0.07137053,0.10263736
1.031,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068820916,-0.10518697,0.6357791,0.6357791,0.071370736,0.10263714,-0.068820916,-0.10518697,0.6357791,0.6357791,0.071370736,0.10263714
1.081,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.0688207,-0.10518718,0.6357791,0.6357791,0.07137095,0.10263693,-0.0688207,-0.10518718,0.6357791,0.6357791,0.07137095,0.10263693
1.131,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882049,-0.10518739,0.6357791,0.6357791,0.07137116,0.10263672,-0.06882049,-0.10518739,0.6357791,0.6357791,0.07137116,0.10263672
1.181,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068820275,-0.1051876,0.6357791,0.6357791,0.07137138,0.1026365,-0.068820275,-0.1051876,0.6357791,0.6357791,0.07137138,0.1026365
1.231,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06882006,-0.10518782,0.6357791,0.6357791,0.07137159,0.10263629,-0.06882006,-0.10518782,0.6357791,0.6357791,0.07137159,0.10263629
1.281,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06881985,-0.105188034,0.6357791,0.6357791,0.0713718,0.10263608,-0.06881985,-0.105188034,0.6357791,0.6357791,0.0713718,0.10263608
1.331,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068819635,-0.10518824,0.6357791,0.6357791,0.07137202,0.10263587,-0.068819635,-0.10518824,0.6357791,0.6357791,0.07137202,0.10263587
1.381,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068819426,-0.10518846,0.6357791,0.6357791,0.071372226,0.10263565,-0.068819426,-0.10518846,0.6357791,0.6357791,0.071372226,0.10263565
1.432,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06881921,-0.10518867,0.6357791,0.6357791,0.07137244,0.102635436,-0.06881921,-0.10518867,0.6357791,0.6357791,0.07137244,0.102635436
1.482,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068818994,-0.105188884,0.6357791,0.6357791,0.07137266,0.10263523,-0.068818994,-0.105188884,0.6357791,0.6357791,0.07137266,0.10263523
1.532,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068818785,-0.1051891,0.6357791,0.6357791,0.07137287,0.10263501,-0.068818785,-0.1051891,0.6357791,0.6357791,0.07137287,0.10263501
1.583,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06881857,-0.10518931,0.6357791,0.6357791,0.07137308,0.1026348,-0.06881857,-0.10518931,0.6357791,0.6357791,0.07137308,0.1026348
1.637,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.06881836,-0.105189525,0.6357791,0.6357791,0.07137329,0.10263459,-0.06881836,-0.105189525,0.6357791,0.6357791,0.07137329,0.10263459
1.682,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068818145,-0.10518973,0.6357791,0.6357791,0.07137351,0.10263437,-0.068818145,-0.10518973,0.6357791,0.6357791,0.07137351,0.10263437
1.732,2.9988,19.9288,0.7946,3.0,20.0,1.0,-0.068817936,-0.10518995,0.6357791,0.6357791,0.07137372,0.10263416,-0.068817936,-0.10518995,0.6357791,0.6357791,0.07137372,0.10263416
