time,x,y,z,tx,ty,tz,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6
0.044,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.03646969,-0.08514768,0.5490165,0.5490165,0.028956749,0.09266062,-0.03646969,-0.08514768,0.5490165,0.5490165,0.028956749,0.09266062
0.084,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036476072,-0.0851413,0.5490165,0.5490165,0.02895037,0.092667006,-0.036476072,-0.0851413,0.5490165,0.5490165,0.02895037,0.092667006
0.134,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036482498,-0.08513488,0.5490165,0.5490165,0.028943943,0.09267343,-0.036482498,-0.08513488,0.5490165,0.5490165,0.028943943,0.09267343
0.184,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036488935,-0.08512844,0.5490165,0.5490165,0.028937506,0.092679866,-0.036488935,-0.08512844,0.5490165,0.5490165,0.028937506,0.092679866
0.235,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036495373,-0.085122004,0.5490165,0.5490165,0.028931068,0.0926863,-0.036495373,-0.085122004,0.5490165,0.5490165,0.028931068,0.0926863
0.284,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036501817,-0.08511556,0.5490165,0.5490165,0.028924625,0.09269275,-0.036501817,-0.08511556,0.5490165,0.5490165,0.028924625,0.09269275
0.335,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036508255,-0.08510912,0.5490165,0.5490165,0.028918188,0.092699185,-0.036508255,-0.08510912,0.5490165,0.5490165,0.028918188,0.092699185
0.385,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.0365147,-0.08510268,0.5490165,0.5490165,0.028911741,0.09270563,-0.0365147,-0.08510268,0.5490165,0.5490165,0.028911741,0.09270563
0.434,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036521144,-0.085096225,0.5490165,0.5490165,0.028905297,0.092712075,-0.036521144,-0.085096225,0.5490165,0.5490165,0.028905297,0.092712075
0.485,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.03652757,-0.0850898,0.5490165,0.5490165,0.02889887,0.092718504,-0.03652757,-0.0850898,0.5490165,0.5490165,0.02889887,0.092718504
0.537,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036534023,-0.08508335,0.5490165,0.5490165,0.028892417,0.09272496,-0.036534023,-0.08508335,0.5490165,0.5490165,0.028892417,0.09272496
0.584,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036540456,-0.08507691,0.5490165,0.5490165,0.028885983,0.09273139,-0.036540456,-0.08507691,0.5490165,0.5490165,0.028885983,0.09273139
0.634,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036546893,-0.085070476,0.5490165,0.5490165,0.028879546,0.09273782,-0.036546893,-0.085070476,0.5490165,0.5490165,0.028879546,0.09273782
0.685,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036553342,-0.08506403,0.5490165,0.5490165,0.028873099,0.092744276,-0.036553342,-0.08506403,0.5490165,0.5490165,0.028873099,0.092744276
0.734,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036559798,-0.08505757,0.5490165,0.5490165,0.028866643,0.09275073,-0.036559798,-0.08505757,0.5490165,0.5490165,0.028866643,0.09275073
0.784,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036566224,-0.08505115,0.5490165,0.5490165,0.028860217,0.09275716,-0.036566224,-0.08505115,0.5490165,0.5490165,0.028860217,0.09275716
0.835,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.03657267,-0.085044704,0.5490165,0.5490165,0.028853772,0.0927636,-0.03657267,-0.085044704,0.5490165,0.5490165,0.028853772,0.0927636
0.884,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.03657911,-0.08503826,0.5490165,0.5490165,0.02884733,0.09277004,-0.03657911,-0.08503826,0.5490165,0.5490165,0.02884733,0.09277004
0.934,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.036585562,-0.08503181,0.5490165,0.5490165,0.028840879,0.09277649,-0.036585562,-0.08503181,0.5490165,0.5490165,0.028840879,0.09277649
0.984,3.0033,19.9614,0.8341,3.0,20.0,1.0,-0.03659199,-0.085025385,0.5490165,0.5490165,0.02883445,0.09278292,-0.03659199,-0.085025385,0.5490165,0.5490165,0.02883445,0.09278292
